"contentType","ts","value"
FTP,1727373600,10541
FTP,1728496800,22620
FTP,1728547200,35013
FTP,1727683200,1453616
FTP,1727424000,177668
FTP,1727272800,393047
FTP,1727337600,81105
FTP,1728626400,13588
FTP,1728295200,180896
FTP,1727942400,95690
FTP,1727344800,94785
FTP,1728280800,62720
FTP,1727215200,97650
FTP,1727265600,276359
FTP,1727294400,12100
FTP,1727222400,2525879
FTP,1727229600,8115
FTP,1727301600,5026
FTP,1727323200,1152
FTP,1727330400,45680
FTP,1727704800,92262
FTP,1727244000,468296
FTP,1727258400,433726
FTP,1727920800,105
FTP,1727906400,38660
FTP,1727928000,13535
FTP,1727856000,120315
FTP,1727208000,10613
FTP,1727236800,1845
FTP,1728028800,188642
FTP,1727280000,30830
FTP,1727395200,3084
FTP,1727647200,6809
FTP,1727510400,10351
FTP,1727971200,22529
FTP,1728540000,50144
FTP,1727467200,135916
FTP,1728316800,213489
FTP,1728720000,11202
FTP,1728237600,10011
FTP,1728230400,26979
FTP,1727604000,56429
FTP,1727200800,19918
FTP,1728144000,45828
FTP,1727805600,17805
FTP,1728244800,8935
FTP,1727690400,475920
FTP,1728064800,51430
FTP,1728684000,45283
FTP,1727517600,6870
FTP,1727784000,203796
FTP,1727596800,1953
FTP,1728050400,111930
FTP,1727416800,22916
FTP,1728129600,22307
FTP,1727164800,1164786
FTP,1727352000,94559
FTP,1727186400,691223
FTP,1727985600,48397
FTP,1728460800,134872
FTP,1727445600,96801
FTP,1728208800,23024
FTP,1727719200,152595
FTP,1727611200,37694
FTP,1728223200,5910
FTP,1727438400,150137
FTP,1727640000,12784
FTP,1727892000,21843
FTP,1728122400,185710
FTP,1728424800,9808
FTP,1727524800,36334
FTP,1727532000,21738
FTP,1728331200,70472
FTP,1727625600,7513
FTP,1727359200,814697
FTP,1727992800,8393
FTP,1728136800,11182
FTP,1727618400,10126
FTP,1727179200,648233
FTP,1728072000,430523
FTP,1727726400,175802
FTP,1727172000,711020
FTP,1728698400,30912
FTP,1727539200,453954
FTP,1728158400,207292
FTP,1727697600,46012
FTP,1727870400,487992
FTP,1728669600,19951
FTP,1728079200,18412
FTP,1728640800,2576672
FTP,1727776800,214476
FTP,1727460000,19209
Trading,1727596800,20465504
FTP,1727553600,54755
FTP,1728727200,10533
FTP,1728115200,52385
FTP,1727546400,21615
FTP,1728504000,22494
FTP,1727474400,16782
FTP,1728057600,76224
FTP,1727956800,25276
FTP,1728201600,34184
FTP,1728590400,42057
FTP,1727791200,611452
FTP,1727380800,7955
FTP,1728676800,12854
FTP,1727827200,1236
FTP,1727388000,18187
FTP,1727978400,20804
FTP,1728180000,1421
FTP,1727589600,14347
FTP,1728374400,139564
FTP,1728554400,312700
FTP,1728216000,27091
FTP,1728612000,253
FTP,1727157600,22772
FTP,1728252000,4213
FTP,1727431200,154859
FTP,1728151200,133994
FTP,1727409600,1100
FTP,1728583200,13419
FTP,1728417600,23281
FTP,1728036000,184018
FTP,1727935200,61239
FTP,1728604800,6347
FTP,1727899200,16418
FTP,1728086400,12345
FTP,1728662400,23872
FTP,1728633600,280652
FTP,1728043200,163558
FTP,1727848800,17885
FTP,1728172800,160593
FTP,1728381600,146450
FTP,1728410400,12493
FTP,1727632800,30216
FTP,1728511200,14703
FTP,1728302400,179983
FTP,1728655200,149693
FTP,1728165600,32711
FTP,1728093600,1649
FTP,1728000000,2938
FTP,1728324000,25862
FTP,1728597600,18755
FTP,1727251200,7715544
FTP,1728021600,202976
FTP,1727676000,349138
FTP,1727560800,14324
FTP,1728468000,15353
FTP,1727503200,3855
FTP,1727748000,1072
FTP,1727287200,47302
Trading,1728064800,974549100
Trading,1728532800,86513542
Trading,1728547200,35002198
Trading,1728489600,26900311
Trading,1727301600,25872174
FTP,1727366400,260448
Trading,1728079200,980755038
Trading,1728014400,27800886
Trading,1728086400,30997226
FTP,1727733600,54598
FTP,1727193600,383030
FTP,1727712000,164686
FTP,1727964000,322693
FTP,1727884800,38179
FTP,1727877600,171802
FTP,1728388800,100615
FTP,1728489600,61305
FTP,1727913600,14305
FTP,1728403200,346212
FTP,1728561600,432691
FTP,1728576000,81550
FTP,1728568800,247009
FTP,1728309600,944650
FTP,1728648000,340091
FTP,1728439200,42616
FTP,1727863200,442200
FTP,1728273600,2443
FTP,1728691200,165531
FTP,1727820000,108264
FTP,1727762400,1988533
FTP,1727452800,628891
FTP,1727798400,566188
FTP,1727582400,349
FTP,1727488800,819
FTP,1728396000,123182
FTP,1728014400,1517
FTP,1727949600,214331
FTP,1728446400,8602
FTP,1728453600,239117
FTP,1727668800,1517
FTP,1728108000,65006
FTP,1727568000,9001
FTP,1728194400,3952
FTP,1727812800,88182
FTP,1728288000,329339
FTP,1727308800,32854
FTP,1728712800,4757
FTP,1728482400,19915
FTP,1728619200,1168
FTP,1727755200,2270
FTP,1728259200,349
FTP,1727575200,1168
FTP,1728367200,13090
FTP,1728705600,3990
FTP,1728360000,698
FTP,1728266400,48474
FTP,1727841600,1047
FTP,1728338400,19291
FTP,1728518400,1999
FTP,1728532800,1168
FTP,1727654400,5002
FTP,1728187200,819
One Click Hosting,1727928000,2354445
One Click Hosting,1728129600,52362109586
Trading,1727467200,43922022
One Click Hosting,1728705600,1349308808
One Click Hosting,1728540000,1955246835
Trading,1727985600,3215934180
FTP,1728352800,470
FTP,1727834400,470
Other,1728482400,60458446183
Trading,1727870400,64955999
Trading,1727956800,16332736
One Click Hosting,1727560800,1791642023
One Click Hosting,1727294400,9508075388
Trading,1727654400,24661739
Trading,1728561600,6902684
Trading,1728072000,184555742
Trading,1727618400,131675091
Trading,1727697600,51957045
Trading,1728676800,24131330
Trading,1727971200,14784141
Trading,1728720000,34372217
Trading,1728165600,18762723
Trading,1727496000,12539351
One Click Hosting,1728007200,4346502690
One Click Hosting,1728064800,15229961534
FTP,1728345600,698
Trading,1728705600,5180139
FTP,1727740800,52616
FTP,1727481600,1755
Email,1727416800,7273283
One Click Hosting,1727740800,5042732048
Trading,1728136800,15634438
One Click Hosting,1728345600,6427359865
One Click Hosting,1728000000,2051611196
One Click Hosting,1728237600,37346827104
One Click Hosting,1728259200,1257020195
Trading,1728626400,13901982
One Click Hosting,1727841600,1923711032
One Click Hosting,1728511200,6608760559
FTP,1728432000,11948
One Click Hosting,1727604000,6365473442
One Click Hosting,1728021600,1513593667
One Click Hosting,1727481600,5034232080
One Click Hosting,1727683200,2841862887
One Click Hosting,1727748000,3295130780
One Click Hosting,1728612000,4278843714
One Click Hosting,1727647200,5523107693
One Click Hosting,1727834400,174914163
One Click Hosting,1727920800,105277262
One Click Hosting,1728273600,4471424
One Click Hosting,1727935200,1521554945
One Click Hosting,1727971200,24912550232
One Click Hosting,1727352000,13584994350
One Click Hosting,1727798400,3619037221
One Click Hosting,1727395200,35251289
One Click Hosting,1728079200,122741136912
One Click Hosting,1727870400,11506971930
One Click Hosting,1727388000,5951699318
One Click Hosting,1728115200,8716420522
One Click Hosting,1727906400,3570839265
One Click Hosting,1728460800,490398537
One Click Hosting,1727438400,12639739989
One Click Hosting,1728547200,7852564292
One Click Hosting,1727755200,2452465706
One Click Hosting,1728014400,3589442154
One Click Hosting,1727488800,1023487545
One Click Hosting,1727820000,2956742621
One Click Hosting,1727474400,9503064421
One Click Hosting,1728187200,1551137113
One Click Hosting,1727222400,7872447760
One Click Hosting,1727690400,2149087259
One Click Hosting,1727330400,8524944685
One Click Hosting,1728108000,18887421297
One Click Hosting,1727323200,72446284
One Click Hosting,1727244000,1646620034
One Click Hosting,1727236800,2969905192
One Click Hosting,1727618400,12662156208
One Click Hosting,1728266400,1134127368
One Click Hosting,1728518400,16275478237
One Click Hosting,1727316000,2068067253
One Click Hosting,1727229600,5106566799
One Click Hosting,1727373600,10901319037
One Click Hosting,1728655200,14492462514
One Click Hosting,1728194400,3069719875
One Click Hosting,1727467200,10535660689
One Click Hosting,1727575200,818392793
One Click Hosting,1727402400,1468601761
One Click Hosting,1727668800,77631122
One Click Hosting,1728684000,23473248319
One Click Hosting,1727409600,9140868
One Click Hosting,1728223200,11322603614
One Click Hosting,1728093600,5169098966
One Click Hosting,1728453600,15954165052
One Click Hosting,1727496000,1090910014
One Click Hosting,1728532800,478945431
One Click Hosting,1727625600,41384482437
One Click Hosting,1727704800,13626451293
One Click Hosting,1728244800,19170762915
One Click Hosting,1728712800,1658693589
One Click Hosting,1728136800,13522322366
One Click Hosting,1727337600,6609003694
One Click Hosting,1727985600,5609689737
One Click Hosting,1727769600,6194025364
One Click Hosting,1727661600,916019354
One Click Hosting,1727978400,60402941153
One Click Hosting,1727280000,17196330142
One Click Hosting,1727654400,8826324510
One Click Hosting,1727460000,21822432621
One Click Hosting,1728057600,3540842263
One Click Hosting,1727913600,687359974
One Click Hosting,1728288000,1823768592
One Click Hosting,1728201600,10385271774
One Click Hosting,1727424000,220149821
One Click Hosting,1728100800,4718554215
One Click Hosting,1727431200,62819434383
One Click Hosting,1728597600,26822307106
One Click Hosting,1727157600,2704522526
One Click Hosting,1727503200,6531947693
One Click Hosting,1728122400,63458661154
One Click Hosting,1727733600,18740497693
One Click Hosting,1727956800,3971216315
One Click Hosting,1727856000,5948700626
One Click Hosting,1727452800,16782907460
One Click Hosting,1728446400,947134359
One Click Hosting,1727416800,139949915
One Click Hosting,1728439200,4351961
One Click Hosting,1728050400,7581558241
One Click Hosting,1727359200,20480199802
One Click Hosting,1727827200,7390443348
One Click Hosting,1727676000,60239545
One Click Hosting,1728165600,20908490085
One Click Hosting,1728727200,3195226191
One Click Hosting,1728352800,5236295314
One Click Hosting,1727517600,2388281317
One Click Hosting,1727812800,11348338691
One Click Hosting,1728367200,3466869787
One Click Hosting,1728180000,2375238100
One Click Hosting,1728432000,3487102240
One Click Hosting,1728626400,1686224153
One Click Hosting,1728619200,3863719262
Trading,1728244800,34768587
Trading,1728374400,12522004
Other File Sharing,1727179200,3012541
One Click Hosting,1728086400,12100275981
Trading,1727280000,364992379
Trading,1727978400,21773517
Trading,1728460800,16136729
